ATCOPIA23	8	LTR/Copia
ATCOPIA24	27	LTR/Copia
ATCOPIA25	9	LTR/Copia
ATCOPIA26	19	LTR/Copia
ATCOPIA27	19	LTR/Copia
ATCOPIA28	81	LTR/Copia
ATCOPIA29	19	LTR/Copia
ATCOPIA3	8	LTR/Copia
ATCOPIA30	33	LTR/Copia
ATCOPIA31	8	LTR/Copia
ATCOPIA31A	5	LTR/Copia
ATCOPIA32	8	LTR/Copia
ATCOPIA32B	10	LTR/Copia
ATCOPIA33	6	LTR/Copia
ATCOPIA34	16	LTR/Copia
ATCOPIA35	22	LTR/Copia
ATCOPIA36	14	LTR/Copia
ATCOPIA37	32	LTR/Copia
ATCOPIA38	9	LTR/Copia
ATCOPIA38A	2	LTR/Copia
ATCOPIA38B	5	LTR/Copia
ATCOPIA39	5	LTR/Copia
ATCOPIA4	11	LTR/Copia
ATCOPIA40	6	LTR/Copia
ATCOPIA41	39	LTR/Copia
ATCOPIA42	35	LTR/Copia
ATCOPIA43	29	LTR/Copia
ATCOPIA44	12	LTR/Copia
ATCOPIA45	20	LTR/Copia
ATCOPIA46	7	LTR/Copia
ATCOPIA47	4	LTR/Copia
ATCOPIA48	15	LTR/Copia
ATCOPIA49	34	LTR/Copia
ATCOPIA5	16	LTR/Copia
ATCOPIA50	17	LTR/Copia
ATCOPIA51	14	LTR/Copia
ATCOPIA52	7	LTR/Copia
ATCOPIA53	5	LTR/Copia
ATCOPIA54	18	LTR/Copia
ATCOPIA55	9	LTR/Copia
ATCOPIA56	16	LTR/Copia
ATCOPIA57	48	LTR/Copia
ATCOPIA58	18	LTR/Copia
ATCOPIA59	20	LTR/Copia
ATCOPIA6	8	LTR/Copia
ATCOPIA60	4	LTR/Copia
ATCOPIA61	12	LTR/Copia
ATCOPIA62	16	LTR/Copia
ATCOPIA63	11	LTR/Copia
ATCOPIA64	13	LTR/Copia
ATCOPIA65	34	LTR/Copia
ATCOPIA65A	9	LTR/Copia
ATCOPIA66	20	LTR/Copia
ATCOPIA67	15	LTR/Copia
ATCOPIA68	43	LTR/Copia
ATCOPIA69	25	LTR/Copia
ATCOPIA7	5	LTR/Copia
ATCOPIA70	8	LTR/Copia
ATCOPIA71	9	LTR/Copia
ATCOPIA72	4	LTR/Copia
ATCOPIA73	3	LTR/Copia
ATCOPIA74	7	LTR/Copia
ATCOPIA75	20	LTR/Copia
ATCOPIA76	7	LTR/Copia
ATCOPIA77	6	LTR/Copia
ATCOPIA78	24	LTR/Copia
ATCOPIA79	7	LTR/Copia
ATCOPIA80	7	LTR/Copia
ATCOPIA81	6	LTR/Copia
ATCOPIA82	7	LTR/Copia
ATCOPIA83	7	LTR/Copia
ATCOPIA84	10	LTR/Copia
ATCOPIA85	7	LTR/Copia
ATCOPIA86	7	LTR/Copia
ATCOPIA87	19	LTR/Copia
ATCOPIA88	8	LTR/Copia
ATCOPIA89	12	LTR/Copia
ATCOPIA8A	12	LTR/Copia
ATCOPIA8B	8	LTR/Copia
ATCOPIA9	9	LTR/Copia
ATCOPIA90	6	LTR/Copia
ATCOPIA91	7	LTR/Copia
